review_id,customer_id,product_id,rating,review_text,review_date
9583154a-6728-4664-8c2d-dfa48ccb2114,28232,592,1,Above capital Congress would side upon strong half many recognize.,2025-01-31T02:32:30.800961
9bafe63f-5e33-4a28-86c1-8b58ead7c1ed,48197,366,3,By car can at choice American worker nation level carry where.,2025-03-16T14:17:18.715508
edbcda88-af3f-458d-9284-213401cb5bd6,81820,340,4,Woman she real either pressure campaign according.,2025-02-09T00:33:47.987026
543a3dcf-8679-45ee-8163-a9cd3b62ca97,94991,319,5,Seat entire service to seem Mr should hit.,2025-03-23T15:03:43.940370
bbcf067e-233a-49a2-84a3-a21c249a747a,49857,754,4,Economy would book live successful remember may list full process surface husband property.,2025-03-13T13:36:30.716975
07b3cac1-d813-4129-8ec0-0ddfb8171951,50860,314,3,Claim drop floor house method tend run.,2025-02-23T08:17:09.192389
80ac0108-465d-412d-a8ce-01355f499ee2,40534,537,4,Hundred herself feeling night push place increase standard quite successful future turn quite.,2025-02-14T19:01:26.900775
5c50e30d-5aec-4646-bc15-cb4bc8b0fe41,96731,592,2,Air believe worry from large bill.,2025-01-29T07:52:59.460271
8c72ff8a-8b2b-45bb-9094-08af9904d006,54937,829,2,Its soldier certain much peace raise news road.,2025-02-05T03:16:13.138785
8cb8c647-4e1b-4713-9bca-d72f2b502b0d,10599,982,3,Third party hair age approach ask perhaps.,2025-02-05T10:16:00.241728
1b4b08a3-f1e5-41b4-8a82-90cd4ef254cd,68759,957,5,Some though century body court least.,2025-02-17T04:52:15.092301
206f2bd1-3b19-41d6-861a-186c52b3e536,95777,319,2,Can better court thought away stand section poor power culture industry.,2025-01-12T06:51:53.066727
5f8073a6-daa3-4f34-b135-4b80afc6a03e,40190,809,3,Financial remember price carry hand former him someone seem.,2025-03-17T22:02:22.843362
8cd7824d-3aa9-4cde-a0fb-5f58d3ad00b7,73409,373,2,Family customer cup cover while consumer player company.,2025-03-09T02:53:22.140954
27c6fdf1-5ac5-4ea2-9ae0-818f81f97d51,40642,754,4,Produce nice decade draw price son industry win language put lay.,2025-03-09T15:49:52.813951
aff4f57d-07d7-4905-8b63-1073d59bdbda,60321,430,4,Choice size doctor former Democrat enter control.,2025-03-14T19:37:16.583108
