product_id,product_name,category,price
503,Human,Home,110.41
372,Research,Clothing,318.15
259,Military,Toys,519.1
541,List,Clothing,651.56
218,Go,Clothing,632.65
216,Class,Electronics,670.84
957,Prove,Electronics,966.77
166,Office,Clothing,219.98
566,True,Toys,553.55
917,Year,Home,709.96
366,Card,Books,567.97
704,Then,Books,367.55
117,Ground,Electronics,847.86
570,Yard,Books,816.35
340,Middle,Home,392.67
829,Form,Toys,363.68
281,Clear,Clothing,596.78
630,Couple,Electronics,291.53
306,Hour,Books,997.38
324,Report,Home,732.58
586,Your,Books,900.27
830,Executive,Electronics,166.0
979,The,Toys,78.2
983,Your,Electronics,678.38
982,Room,Toys,547.38
797,Role,Home,297.85
696,Model,Electronics,267.8
508,Education,Home,298.78
505,Behind,Electronics,48.66
171,Really,Books,969.29
308,Message,Home,392.67
319,With,Clothing,440.62
421,Affect,Toys,531.36
770,Ask,Home,320.37
530,Worry,Home,303.18
553,All,Books,556.0
773,Explain,Books,861.37
143,Defense,Home,697.28
592,Call,Toys,770.43
107,Few,Books,804.63
699,Health,Clothing,257.87
430,Opportunity,Books,676.17
686,Opportunity,Toys,342.15
920,Real,Home,921.24
373,Begin,Toys,901.7
809,Run,Clothing,139.65
688,Edge,Home,413.44
396,Rather,Books,835.92
676,Data,Home,16.71
754,While,Home,844.6
422,Keep,Toys,825.59
314,Let,Books,66.82
375,Red,Toys,934.23
537,Include,Home,550.76
462,Million,Electronics,107.5
880,Now,Books,718.9
611,Mrs,Home,451.36
637,Sell,Books,508.41
131,Future,Electronics,769.55
481,Arm,Electronics,239.66
344,What,Toys,425.78
719,Another,Books,163.65
646,Manager,Toys,182.58
382,Night,Home,134.84
312,Republican,Toys,942.84
353,Similar,Toys,880.63
907,Teach,Electronics,347.13
386,Week,Toys,359.19
818,Defense,Home,466.67
